Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|133|range|regionId|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|152|range|regionId|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|78|range|regionId|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|88|range|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|483|DBH|regionId|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|439|DBH|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|399|default|regionId|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|417|default|regionId|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|212|DBH|regionId|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|276|DBH|regionId|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|209|default|regionId|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|265|default|regionId|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|165|DBH|regionId|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|188|DBH|regionId|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|130|default|regionId|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|144|default|regionId|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|86|DBH|regionId|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|113|DBH|regionId|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|76|default|regionId|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|90|default|regionId|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|73|hash|label|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|72|hash|label|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|70|hash|id|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|62|hash|id|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|51|edgeHash|label|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|74|edgeHash|label|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|65|edgeHash|day|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|65|edgeHash|day|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|247|edgeHash|year|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|286|edgeHash|year|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|63|edgeHash|bike_id|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|72|edgeHash|bike_id|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|52|range|regionId|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|56|range|regionId|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|71|DBH|regionId|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|76|DBH|regionId|PatternMatching|3
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|50|default|regionId|PatternMatching|1
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|56|default|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|569|hash|label|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|556|hash|id|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|574|edgeHash|label|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|629|edgeHash|day|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|946|edgeHash|year|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|642|edgeHash|bike_id|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|270|hash|label|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|259|hash|id|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|300|edgeHash|label|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|340|edgeHash|day|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|476|edgeHash|year|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|323|edgeHash|bike_id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|153|hash|label|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|hash|id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|152|edgeHash|label|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|172|edgeHash|day|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|432|edgeHash|year|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|183|edgeHash|bike_id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|83|hash|label|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|84|hash|id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|82|edgeHash|label|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|97|edgeHash|day|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|249|edgeHash|year|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|94|edgeHash|bike_id|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|49|hash|label|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|hash|id|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|51|edgeHash|label|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|57|edgeHash|day|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|244|edgeHash|year|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|56|edgeHash|bike_id|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|554|range|regionId|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|264|range|regionId|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|138|range|regionId|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|79|range|regionId|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|50|range|regionId|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|629|DBH|regionId|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|557|default|regionId|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|338|DBH|regionId|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|258|default|regionId|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|177|DBH|regionId|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|145|default|regionId|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|98|DBH|regionId|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|81|default|regionId|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|70|DBH|regionId|PatternMatching|2
96|hdfs:///user/kretschmer/citibike|null|null|null|null|true|47|default|regionId|PatternMatching|2
