Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|1010|edgeHash|year|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|273|edgeHash|year|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|958|edgeHash|year|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|692|DBH|year|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|490|DBH|year|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|595|DBH|year|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|627|default|year|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|398|default|year|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|562|default|year|PatternMatching|6
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|348|DBH|year|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|244|DBH|year|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|302|DBH|year|PatternMatching|6
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|334|default|year|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|212|default|year|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|349|default|year|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|224|DBH|year|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|147|DBH|year|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|188|DBH|year|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|209|default|year|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|124|default|year|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|186|default|year|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|145|DBH|year|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|102|DBH|year|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|145|DBH|year|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|137|default|year|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|87|default|year|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|130|default|year|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|462|hash|label|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|273|hash|label|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|348|hash|label|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|80|hash|id|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|55|hash|id|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|74|hash|id|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|82|edgeHash|label|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|53|edgeHash|label|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|74|edgeHash|label|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|94|edgeHash|day|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|62|edgeHash|day|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|86|edgeHash|day|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|811|edgeHash|year|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|245|edgeHash|year|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|843|edgeHash|year|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|98|DBH|year|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|69|DBH|year|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|89|DBH|year|PatternMatching|6
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|78|default|year|PatternMatching|4
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|52|default|year|PatternMatching|5
96|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|70|default|year|PatternMatching|6
