Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type|Query
12|hdfs:///user/kretschmer/citibike|all|null|null|false|true|152|default|id|Snapshot
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|254|default|id|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|282|default|id|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|309|default|id|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|all|null|null|false|true|169|default|name|Snapshot
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|311|default|name|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|285|default|name|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|296|default|name|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|all|null|null|false|true|150|default|regionId|Snapshot
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|261|default|regionId|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|286|default|regionId|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|306|default|regionId|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|all|null|null|false|true|234|edgeHash|id|Snapshot
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|360|edgeHash|id|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|319|edgeHash|id|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|328|edgeHash|id|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|all|null|null|false|true|349|edgeRange|id|Snapshot
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|446|edgeRange|id|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|508|edgeRange|id|PatternMatching|2
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|536|edgeRange|id|PatternMatching|3
